id_Social;any;data;hora;idEstructura;;;;;;;;
304;2021;22/04/2021;10:46;StaBarbara;;;;;;;;
305;2021;22/04/2021;NA;OsBalaguer;;;;;;;;
306;2021;22/04/2021;11:49;Ivars;;;;;;;;
307;2021;27/04/2021;10:12;OsBalaguer;;;;;;;;
308;2021;27/04/2021;10:30;Cantaperdius;;;;;;;;
309;2021;27/04/2021;10:53;Ivars;;;;;;;;
310;2021;27/04/2021;11:50;LesQuadres;;;;;;;;
311;2021;27/04/2021;13:35;Cadolles;;;;;;;;
312;2021;27/04/2021;13:50;granja Cadolles;;;;;;;;
313;2021;27/04/2021;14:00;Caserna;;;;;;;;
314;2021;27/04/2021;NA;Bellmunt22;;;;;;;;
315;2021;27/04/2021;NA;Bellmunt23;;;;;;;;
316;2021;27/04/2021;14:49;Bellmunt21;;;;;;;;
317;2021;27/04/2021;NA;Bellmunt19;;;;;;;;
318;2021;27/04/2021;NA;Bellmunt16;;;;;;;;
319;2021;27/04/2021;NA;Bellmunt15;;;;;;;;
320;2021;27/04/2021;NA;Bellmunt12;;;;;;;;
321;2021;27/04/2021;15:42;carretera c-53;;;;;;;;
322;2021;28/04/2021;9:00;ValldelsPous;;;;;;;;
323;2021;28/04/2021;9:41;PlaRoquis;;;;;;;;
324;2021;28/04/2021;NA;MasMel12;;;;;;;;
325;2021;28/04/2021;10:27;Palmero;;;;;;;;
326;2021;28/04/2021;11:04;RocaGuilla;;;;;;;;
327;2021;28/04/2021;11:04;RocaGuilla;;;;;;;;
328;2021;28/04/2021;11:04;RocaGuilla;;;;;;;;
329;2021;28/04/2021;13:01;Montrepos;;;;;;;;
330;2021;28/04/2021;13:28;Montrepos;;;;;;;;
331;2021;28/04/2021;13:38;Biscarri;;;;;;;;
332;2021;28/04/2021;14:18;TossalFonta;;;;;;;;
333;2021;28/04/2021;14:36;Rabinat;;;;;;;;
334;2021;04/05/2021;14:23;BelpreixanaMontreposNW;;;;;;;;
335;2021;11/05/2021;9:39;RocaGuilla;;;;;;;;
336;2021;11/05/2021;11:18;granja ValldelsPous;;;;;;;;
337;2021;11/05/2021;11:30;Palmero;;;;;;;;
338;2021;11/05/2021;12:49;TossalRodo;;;;;;;;
339;2021;11/05/2021;15:18;StaBarbara;;;;;;;;
340;2021;12/05/2021;9:00;TossalRodo;;;;;;;;
341;2021;12/05/2021;NA;Caserna;;;;;;;;
342;2021;12/05/2021;NA;TossalFonta;;;;;;;;
343;2021;13/05/2021;NA;ValldelsPous;;;;;;;;
344;2021;13/05/2021;7:50;PlaRoquis;;;;;;;;
345;2021;13/05/2021;8:20;Palmero;;;;;;;;
346;2021;13/05/2021;9:00;RocaGuilla;;;;;;;;
347;2021;13/05/2021;10:25;Bellmunt1;;;;;;;;
348;2021;13/05/2021;NA;Bellmunt2;;;;;;;;
349;2021;13/05/2021;11:30;Bellmunt11;;;;;;;;
350;2021;13/05/2021;12:25;Bellmunt15;;;;;;;;
351;2021;13/05/2021;12:41;Bellmunt12;;;;;;;;
352;2021;13/05/2021;12:50;Bellmunt19;;;;;;;;
353;2021;13/05/2021;13:27;Bellmunt21;;;;;;;;
354;2021;13/05/2021;15:20;BelpreixanaSocarrades;;;;;;;;
