ID_captures;metalica_esq;id_individu;id_uncertain;captura_recaptura;any_naixement;sexe;any;data;localitat;metode2;metode_captura;idEstructura;idCaixaNiu;idCaixa_old;edat_Euring;edat;pvc_d2;pvc_d;tag_esq;tag_esq_old;colorTag;tag_uncertainty;ala;ala_total;pp3;cua;becLlargada;becAlcada;tars;pes;alcada_ou;amplada_ou;volum_ou;crossfostering_dia;crossfostering_caixa;ploma;sang;gps;gps_old
5624;L007263;IND3782;certain;recaptura;2023;NA;2023;02/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;14_dies;PVC8H5;8H5;7631E906F2;no;negre;certain;82;NA;NA;NA;NA;NA;41.33;158.8;NA;NA;NA;NA;NA;no;no;no;NA
5705;L007263;IND3782;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;21_dies;PVC8H5;8H5;7631E906F2;no;negre;certain;129.5;NA;NA;NA;NA;NA;44.3;182.1;NA;NA;NA;NA;NA;si;no;NA;NA
5285;L007260;IND3783;certain;captura;2023;NA;2023;29/04/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_16;16;0;ou;PVC8H2;8H2;763539B168;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;11.41;34.73;24.77;10.71091695;NA;NA;NA;NA;NA;NA
5451;L007260;IND3783;certain;recaptura;2023;NA;2023;19/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;1_dia;PVC8H2;8H2;763539B168;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;8.99;NA;NA;NA;NA;NA;no;no;no;NA
5557;L007260;IND3783;certain;captura;2023;NA;2023;26/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_16;16;1;7_dies;PVC8H2;8H2;763539B168;no;verd;certain;34.5;NA;NA;NA;NA;NA;27.56;90.38;NA;NA;NA;NA;NA;no;no;no;NA
5620;L007260;IND3783;certain;recaptura;2023;NA;2023;02/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;14_dies;PVC8H2;8H2;763539B168;no;verd;certain;91;NA;NA;NA;NA;NA;41.57;173.4;NA;NA;NA;NA;NA;no;no;no;NA
5702;L007260;IND3783;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;21_dies;PVC8H2;8H2;763539B168;no;verd;certain;141.5;NA;NA;NA;NA;NA;43.5;196.1;NA;NA;NA;NA;NA;si;no;NA;NA
5314;L007259;IND3784;uncertain;captura;2023;NA;2023;01/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_16;16;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.96;33.73;24.73;10.36894162;NA;NA;NA;NA;NA;NA
5472;L007259;IND3784;certain;recaptura;2023;NA;2023;21/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;1-3_dies;PVC8H1;8H1;7635392D3A;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;17.84;NA;NA;NA;NA;NA;no;no;no;NA
5558;L007259;IND3784;certain;captura;2023;NA;2023;26/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_16;16;1;7_dies;PVC8H1;8H1;7635392D3A;no;verd;certain;29.5;NA;NA;NA;NA;NA;25.54;77.65;NA;NA;NA;NA;NA;no;no;no;NA
5621;L007259;IND3784;certain;recaptura;2023;NA;2023;02/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;14_dies;PVC8H1;8H1;7635392D3A;no;verd;certain;86.5;NA;NA;NA;NA;NA;41.82;159.7;NA;NA;NA;NA;NA;no;no;no;NA
5701;L007259;IND3784;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;21_dies;PVC8H1;8H1;7635392D3A;no;verd;certain;135;NA;NA;NA;NA;NA;45.16;192.6;NA;NA;NA;NA;NA;si;no;NA;NA
5298;L007264;IND3785;certain;captura;2023;NA;2023;30/04/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_16;16;0;ou;PVC8H6;8H6;763591377F;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;11.14;34.60;24.60;10.52485614;NA;NA;NA;NA;NA;NA
5450;L007264;IND3785;certain;recaptura;2023;NA;2023;19/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;1_dia;PVC8H6;8H6;763591377F;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;8.72;NA;NA;NA;NA;NA;no;no;no;NA
5559;L007264;IND3785;certain;captura;2023;NA;2023;26/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_16;16;1;7_dies;PVC8H6;8H6;763591377F;no;verd;certain;31;NA;NA;NA;NA;NA;26.67;85.38;NA;NA;NA;NA;NA;no;no;no;NA
5625;L007264;IND3785;certain;recaptura;2023;NA;2023;02/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;14_dies;PVC8H6;8H6;763591377F;no;verd;certain;89;NA;NA;NA;NA;NA;41.21;156;NA;NA;NA;NA;NA;no;no;no;NA
5706;L007264;IND3785;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_16;16;1;21_dies;PVC8H6;8H6;763591377F;no;verd;certain;136.5;NA;NA;NA;NA;NA;42.36;182.2;NA;NA;NA;NA;NA;si;no;NA;NA
5315;L007154;IND3786;uncertain;captura;2023;NA;2023;01/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_17;17;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.01;34.57;23.12;9.28848522;NA;NA;NA;NA;NA;NA
5436;L007154;IND3786;certain;recaptura;2023;NA;2023;18/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;1_dia;PVC86W;86W;7635388A1E;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;7.10;NA;NA;NA;NA;NA;no;no;no;NA
5517;L007154;IND3786;certain;captura;2023;NA;2023;24/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_17;17;1;7_dies;PVC86W;86W;7635388A1E;no;verd;certain;20.5;NA;NA;NA;NA;NA;17.32;51.57;NA;NA;NA;NA;NA;no;no;no;NA
5588;L007154;IND3786;certain;recaptura;2023;NA;2023;31/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;14_dies;PVC86W;86W;7635388A1E;no;verd;certain;70.5;NA;NA;NA;NA;NA;39.03;170;NA;NA;NA;NA;NA;no;no;no;NA
5675;L007154;IND3786;certain;recaptura;2023;NA;2023;07/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;21_dies;PVC86W;86W;7635388A1E;no;verd;certain;125.5;NA;NA;NA;NA;NA;44.67;215.7;NA;NA;NA;NA;NA;si;no;NA;NA
5299;L007152;IND3787;uncertain;captura;2023;NA;2023;30/04/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_17;17;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.00;35.10;23.24;9.52904152;NA;NA;NA;NA;NA;NA
5435;L007152;IND3787;certain;recaptura;2023;NA;2023;18/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;1_dia;PVC86U;86U;7631E8FFCH;no;verd;certain;NA;NA;NA;NA;NA;NA;NA;9.12;NA;NA;NA;NA;NA;no;no;no;NA
5518;L007152;IND3787;certain;captura;2023;NA;2023;24/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_17;17;1;7_dies;PVC86U;86U;7631E8FFCH;no;verd;certain;28;NA;NA;NA;NA;NA;23.67;77.49;NA;NA;NA;NA;NA;no;no;no;NA
5590;L007152;IND3787;certain;recaptura;2023;NA;2023;31/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;14_dies;PVC86U;86U;7631E8FFCH;no;verd;certain;83;NA;NA;NA;NA;NA;40.72;164.86;NA;NA;NA;NA;NA;no;no;no;NA
5673;L007152;IND3787;certain;recaptura;2023;NA;2023;07/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;21_dies;PVC86U;86U;7631E8FFCH;no;verd;certain;133.5;NA;NA;NA;NA;NA;44.05;194.9;NA;NA;NA;NA;NA;si;no;NA;NA
5275;L007153;IND3788;uncertain;captura;2023;NA;2023;28/04/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_17;17;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.25;37.14;23.96;10.71729986;NA;NA;NA;NA;NA;NA
5427;L007153;IND3788;certain;recaptura;2023;NA;2023;17/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;1_dia;PVC86V;86V;7631E9395E;no;negre;certain;NA;NA;NA;NA;NA;NA;NA;8.66;NA;NA;NA;NA;NA;no;no;no;NA
5519;L007153;IND3788;certain;captura;2023;NA;2023;24/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_17;17;1;7_dies;PVC86V;86V;7631E9395E;no;negre;certain;19;NA;NA;NA;NA;NA;24.73;87.2;NA;NA;NA;NA;NA;no;no;no;NA
5589;L007153;IND3788;certain;recaptura;2023;NA;2023;31/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;14_dies;PVC86V;86V;7631E9395E;no;negre;certain;83;NA;NA;NA;NA;NA;39.36;176.5;NA;NA;NA;NA;NA;no;no;no;NA
5674;L007153;IND3788;certain;recaptura;2023;NA;2023;07/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_17;17;1;21_dies;PVC86V;86V;7631E9395E;no;negre;certain;136;NA;NA;NA;NA;NA;41.6;204.1;NA;NA;NA;NA;NA;si;no;NA;NA
5655;L007077;IND3789;certain;captura;NA;NA;2023;05/06/2023;Cadolles;captura_adult;ObturarCaixaNiu;Cadolles;CD_17;17;6;adult;PVC84J;84J;763538E78A;no;verd;certain;226;NA;171;128.5;38.78;15.19;42.91;98.9;NA;NA;NA;NA;NA;si;no;no;NA
5660;L007077;IND3789;certain;captura;NA;NA;2023;05/06/2023;Cadolles;captura_adult;ObturarCaixaNiu;Cadolles;CD_17;17;6;adult;PVC84J;84J;763538E78A;no;verd;certain;224;NA;167;129;37.73;17.13;43.22;98.9;NA;NA;NA;NA;NA;si;no;no;NA
393;5117418;IND0379;NA;captura;2010;NA;2010;17/06/2010;RocaGuilla;captura_poll;CaixaNiu;RocaGuilla;RG_6;8;1;poll;PVC00H;00H;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;no;no;NA
5284;NA;IND3790;certain;captura;2023;NA;2023;29/04/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_17;17;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.78;36.15;23.50;10.03491924;NA;NA;NA;NA;NA;NA
5300;L007268;IND3791;uncertain;captura;2023;NA;2023;30/04/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_18;18;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.88;36.21;24.83;11.2215234;NA;NA;NA;NA;NA;NA
